EFA Date,EFA,Clearing Price
11/04/2022,2,3.74
11/04/2022,3,1.2
11/04/2022,4,5.5
11/04/2022,5,5.5
11/04/2022,6,5.16
12/04/2022,1,11.98
12/04/2022,2,11.98
12/04/2022,3,8.94
12/04/2022,4,3.18
12/04/2022,5,5.5
12/04/2022,6,7.84
13/04/2022,1,2.99
13/04/2022,2,3.62
13/04/2022,3,0.66
13/04/2022,4,1.07
13/04/2022,5,2.04
13/04/2022,6,0.87
14/04/2022,1,1.4
14/04/2022,2,3.77
14/04/2022,3,0.57
14/04/2022,4,1.95
14/04/2022,5,5.49
14/04/2022,6,0.5
15/04/2022,1,1
15/04/2022,2,1.85
15/04/2022,3,0.63
15/04/2022,4,2.33
15/04/2022,5,1.95
15/04/2022,6,0.63
16/04/2022,1,11.98
16/04/2022,2,11
16/04/2022,3,7
16/04/2022,4,8
16/04/2022,5,7.29
16/04/2022,6,2.95
17/04/2022,1,5.11
17/04/2022,2,4.74
17/04/2022,3,7.99
17/04/2022,4,8
17/04/2022,5,6
17/04/2022,6,2.95
18/04/2022,1,3.99
18/04/2022,2,9.49
18/04/2022,3,6.35
18/04/2022,4,7.41
18/04/2022,5,10.58
18/04/2022,6,2.95
19/04/2022,1,4.41
19/04/2022,2,4.67
19/04/2022,3,1.48
19/04/2022,4,1.86
19/04/2022,5,11.98
19/04/2022,6,2.95
20/04/2022,1,0.63
20/04/2022,2,4.67
20/04/2022,3,6
20/04/2022,4,4.32
20/04/2022,5,4.85
20/04/2022,6,4.48
21/04/2022,1,7.9
21/04/2022,2,7.64
21/04/2022,3,6
21/04/2022,4,4.97
21/04/2022,5,7.78
21/04/2022,6,3.93
22/04/2022,1,8
22/04/2022,2,6
22/04/2022,3,5
22/04/2022,4,5
22/04/2022,5,7
22/04/2022,6,5
23/04/2022,1,8
23/04/2022,2,6
23/04/2022,3,2
23/04/2022,4,7.8
23/04/2022,5,8
23/04/2022,6,5
24/04/2022,1,8
24/04/2022,2,6
24/04/2022,3,0.84
24/04/2022,4,0.85
24/04/2022,5,2
24/04/2022,6,0.85
25/04/2022,1,2.83
25/04/2022,2,4.53
25/04/2022,3,0.83
25/04/2022,4,0.85
25/04/2022,5,0.93
25/04/2022,6,0.81
26/04/2022,1,7.25
26/04/2022,2,6.24
26/04/2022,3,4.77
26/04/2022,4,5
26/04/2022,5,8.52
26/04/2022,6,3.83
27/04/2022,1,4.49
27/04/2022,2,5.94
27/04/2022,3,6.99
27/04/2022,4,5.58
27/04/2022,5,8.83
27/04/2022,6,4.95
28/04/2022,1,4.29
28/04/2022,2,5.5
28/04/2022,3,6.75
28/04/2022,4,5.35
28/04/2022,5,8.15
28/04/2022,6,4.9
29/04/2022,1,0.83
29/04/2022,2,1.5
29/04/2022,3,1
29/04/2022,4,1
29/04/2022,5,2.95
29/04/2022,6,0.83
30/04/2022,1,1.45
30/04/2022,2,1.41
30/04/2022,3,1.2
30/04/2022,4,5
30/04/2022,5,9.69
30/04/2022,6,3.01
01/05/2022,1,0.98
01/05/2022,2,0.71
01/05/2022,3,2.4
01/05/2022,4,1.79
01/05/2022,5,2.95
01/05/2022,6,5
02/05/2022,1,0.71
02/05/2022,2,2.95
02/05/2022,3,3.13
02/05/2022,4,2.6
02/05/2022,5,5.28
02/05/2022,6,4.95
03/05/2022,1,1.49
03/05/2022,2,1.95
03/05/2022,3,0.71
03/05/2022,4,0.71
03/05/2022,5,0.71
03/05/2022,6,0.71
04/05/2022,1,1.5
04/05/2022,2,4.45
04/05/2022,3,1.91
04/05/2022,4,1.49
04/05/2022,5,0.65
04/05/2022,6,4.85
05/05/2022,1,2.54
05/05/2022,2,4.95
05/05/2022,3,2.95
05/05/2022,4,4.85
05/05/2022,5,9.84
05/05/2022,6,5.8
06/05/2022,1,2.49
06/05/2022,2,4.95
06/05/2022,3,0.78
06/05/2022,4,2.09
06/05/2022,5,0.61
06/05/2022,6,0.62
07/05/2022,1,2.95
07/05/2022,2,4.95
07/05/2022,3,5.89
07/05/2022,4,6
07/05/2022,5,2.95
07/05/2022,6,5.5
08/05/2022,1,4.95
08/05/2022,2,4.95
08/05/2022,3,2.95
08/05/2022,4,4.95
08/05/2022,5,7
08/05/2022,6,4.95
09/05/2022,1,10
09/05/2022,2,5
09/05/2022,3,8
09/05/2022,4,4.45
09/05/2022,5,2.95
09/05/2022,6,2.95
10/05/2022,1,8
10/05/2022,2,7
10/05/2022,3,2.95
10/05/2022,4,1.2
10/05/2022,5,7.32
10/05/2022,6,7
11/05/2022,1,4.99
11/05/2022,2,7
11/05/2022,3,1.2
11/05/2022,4,1.2
11/05/2022,5,3.65
11/05/2022,6,5.43
12/05/2022,1,6.69
12/05/2022,2,6.69
12/05/2022,3,2.95
12/05/2022,4,6.69
12/05/2022,5,6.69
12/05/2022,6,7
13/05/2022,1,1.45
13/05/2022,2,1.94
13/05/2022,3,2.95
13/05/2022,4,2.95
13/05/2022,5,8.9
13/05/2022,6,1.2
14/05/2022,1,7.92
14/05/2022,2,7.05
14/05/2022,3,6.9
14/05/2022,4,3.2
14/05/2022,5,11
14/05/2022,6,11
15/05/2022,1,7.9
15/05/2022,2,7.9
15/05/2022,3,3.31
15/05/2022,4,6.69
15/05/2022,5,11
15/05/2022,6,6.9
16/05/2022,1,11.98
16/05/2022,2,11.98
16/05/2022,3,6.9
16/05/2022,4,3.55
16/05/2022,5,6.14
16/05/2022,6,11
17/05/2022,1,1.95
17/05/2022,2,2.82
17/05/2022,3,0.78
17/05/2022,4,0.75
17/05/2022,5,0.75
17/05/2022,6,2.95
18/05/2022,1,5.04
18/05/2022,2,8
18/05/2022,3,0.83
18/05/2022,4,3.95
18/05/2022,5,8
18/05/2022,6,8
19/05/2022,1,1.95
19/05/2022,2,1.1
19/05/2022,3,1
19/05/2022,4,0.85
19/05/2022,5,0.85
19/05/2022,6,0.85
20/05/2022,1,1.95
20/05/2022,2,3.19
20/05/2022,3,2.95
20/05/2022,4,1.86
20/05/2022,5,0.87
20/05/2022,6,6
21/05/2022,1,4.06
21/05/2022,2,5.99
21/05/2022,3,2.45
21/05/2022,4,2.45
21/05/2022,5,5.99
21/05/2022,6,6.02
22/05/2022,1,3.99
22/05/2022,2,5.99
22/05/2022,3,3.35
22/05/2022,4,2.45
22/05/2022,5,3.39
22/05/2022,6,2.95
23/05/2022,1,5.99
23/05/2022,2,13
23/05/2022,3,0.81
23/05/2022,4,1.86
23/05/2022,5,4.25
23/05/2022,6,3.94
24/05/2022,1,1.95
24/05/2022,2,1.95
24/05/2022,3,0.8
24/05/2022,4,3.07
24/05/2022,5,3.45
24/05/2022,6,0.8
25/05/2022,1,1.95
25/05/2022,2,3.95
25/05/2022,3,1
25/05/2022,4,3.95
25/05/2022,5,5.69
25/05/2022,6,0.8
26/05/2022,1,5.5
26/05/2022,2,6.9
26/05/2022,3,1.1
26/05/2022,4,6.9
26/05/2022,5,5.5
26/05/2022,6,5.5
27/05/2022,1,2.94
27/05/2022,2,1.95
27/05/2022,3,2.45
27/05/2022,4,4
27/05/2022,5,5.28
27/05/2022,6,1.1
28/05/2022,1,6.9
28/05/2022,2,4.9
28/05/2022,3,5.5
28/05/2022,4,6.9
28/05/2022,5,5.8
28/05/2022,6,3.95
29/05/2022,1,1.95
29/05/2022,2,4.1
29/05/2022,3,6.5
29/05/2022,4,6.9
29/05/2022,5,6.1
29/05/2022,6,3
30/05/2022,1,4.51
30/05/2022,2,9.1
30/05/2022,3,0.78
30/05/2022,4,1.86
30/05/2022,5,0.76
30/05/2022,6,1.83
31/05/2022,1,1.95
31/05/2022,2,1.95
31/05/2022,3,0.8
31/05/2022,4,1.95
31/05/2022,5,3.07
31/05/2022,6,0.8
01/06/2022,1,1.95
01/06/2022,2,6.9
01/06/2022,3,1.95
01/06/2022,4,2.45
01/06/2022,5,2.2
01/06/2022,6,3.55
02/06/2022,1,0.98
02/06/2022,2,0.92
02/06/2022,3,0.92
02/06/2022,4,0.92
02/06/2022,5,1.81
02/06/2022,6,0.92
03/06/2022,1,2.2
03/06/2022,2,2.45
03/06/2022,3,1.95
03/06/2022,4,3.95
03/06/2022,5,4.69
03/06/2022,6,1.95
04/06/2022,1,2.2
04/06/2022,2,2.45
04/06/2022,3,1.9
04/06/2022,4,2.9
04/06/2022,5,3.95
04/06/2022,6,1.95
05/06/2022,1,2.95
05/06/2022,2,4.99
05/06/2022,3,4.99
05/06/2022,4,3.45
05/06/2022,5,4.69
05/06/2022,6,3.32
06/06/2022,1,1.95
06/06/2022,2,4.9
06/06/2022,3,1.95
06/06/2022,4,1.99
06/06/2022,5,1.95
06/06/2022,6,2.1
07/06/2022,1,3.6
07/06/2022,2,3.34
07/06/2022,3,2.14
07/06/2022,4,2.95
07/06/2022,5,4.42
07/06/2022,6,2.25
08/06/2022,1,4.69
08/06/2022,2,4.95
08/06/2022,3,3.29
08/06/2022,4,2.25
08/06/2022,5,3.42
08/06/2022,6,3.1
09/06/2022,1,4.9
09/06/2022,2,5.9
09/06/2022,3,2.25
09/06/2022,4,3.55
09/06/2022,5,2.63
09/06/2022,6,3.69
10/06/2022,1,2
10/06/2022,2,2.49
10/06/2022,3,0.8
10/06/2022,4,2
10/06/2022,5,3.69
10/06/2022,6,2
11/06/2022,1,4.7
11/06/2022,2,2.95
11/06/2022,3,2
11/06/2022,4,2
11/06/2022,5,2
11/06/2022,6,2.86
12/06/2022,1,2
12/06/2022,2,2
12/06/2022,3,1.9
12/06/2022,4,1.95
12/06/2022,5,2
12/06/2022,6,1.95
13/06/2022,1,4.9
13/06/2022,2,5.4
13/06/2022,3,1.95
13/06/2022,4,1.95
13/06/2022,5,4
13/06/2022,6,4
14/06/2022,1,4
14/06/2022,2,4
14/06/2022,3,4
14/06/2022,4,5.47
14/06/2022,5,4.95
14/06/2022,6,4
15/06/2022,1,5.84
15/06/2022,2,4.95
15/06/2022,3,1.95
15/06/2022,4,3.05
15/06/2022,5,0.85
15/06/2022,6,0.81
16/06/2022,1,3.27
16/06/2022,2,4.95
16/06/2022,3,0.86
16/06/2022,4,1.95
16/06/2022,5,4
16/06/2022,6,5
17/06/2022,1,7.95
17/06/2022,2,7.95
17/06/2022,3,4
17/06/2022,4,4
17/06/2022,5,8.69
17/06/2022,6,4.95
18/06/2022,1,7.95
18/06/2022,2,5.9
18/06/2022,3,4
18/06/2022,4,4.2
18/06/2022,5,6.01
18/06/2022,6,4
19/06/2022,1,4
19/06/2022,2,2.95
19/06/2022,3,2.45
19/06/2022,4,1.95
19/06/2022,5,4.95
19/06/2022,6,2.45
20/06/2022,1,7.95
20/06/2022,2,6.36
20/06/2022,3,2.45
20/06/2022,4,4
20/06/2022,5,7.95
20/06/2022,6,4.95
21/06/2022,1,5.9
21/06/2022,2,4.95
21/06/2022,3,0.8
21/06/2022,4,0.8
21/06/2022,5,0.9
21/06/2022,6,4
22/06/2022,1,7.9
22/06/2022,2,8.69
22/06/2022,3,2.95
22/06/2022,4,6
22/06/2022,5,7.9
22/06/2022,6,4.95
23/06/2022,1,8.4
23/06/2022,2,8.9
23/06/2022,3,1.95
23/06/2022,4,1.95
23/06/2022,5,7.9
23/06/2022,6,4.95
24/06/2022,1,3.8
24/06/2022,2,4.95
24/06/2022,3,0.8
24/06/2022,4,0.8
24/06/2022,5,0.8
24/06/2022,6,4.95
25/06/2022,1,6
25/06/2022,2,6
25/06/2022,3,3.92
25/06/2022,4,4.95
25/06/2022,5,7.9
25/06/2022,6,6
26/06/2022,1,7.9
26/06/2022,2,7.69
26/06/2022,3,6
26/06/2022,4,6.9
26/06/2022,5,7.6
26/06/2022,6,5.7
27/06/2022,1,6.9
27/06/2022,2,7.9
27/06/2022,3,1.95
27/06/2022,4,2
27/06/2022,5,7.9
27/06/2022,6,5.69
28/06/2022,1,4.95
28/06/2022,2,4.88
28/06/2022,3,2.45
28/06/2022,4,2
28/06/2022,5,8.69
28/06/2022,6,6.69
29/06/2022,1,3.27
29/06/2022,2,4.91
29/06/2022,3,1.96
29/06/2022,4,1.95
29/06/2022,5,2.45
29/06/2022,6,3.86
30/06/2022,1,6.95
30/06/2022,2,8.9
30/06/2022,3,1.95
30/06/2022,4,1.95
30/06/2022,5,3.33
30/06/2022,6,5.95
01/07/2022,1,3.27
01/07/2022,2,2.85
01/07/2022,3,0.93
01/07/2022,4,1.95
01/07/2022,5,3.08
01/07/2022,6,1.95
02/07/2022,1,6.69
02/07/2022,2,4
02/07/2022,3,2.45
02/07/2022,4,8.9
02/07/2022,5,8.69
02/07/2022,6,5.1
03/07/2022,1,3
