registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,executedQuantity,clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2,2025-01-13T07:00:00,2025-01-13T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.5,2025-01-13T11:00:00,2025-01-13T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.17,2025-01-13T19:00:00,2025-01-13T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.4,2025-01-13T15:00:00,2025-01-13T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.37,2025-01-28T03:00:00,2025-01-28T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.51,2025-01-27T23:00:00,2025-01-28T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.63,2025-01-28T03:00:00,2025-01-28T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.64,2025-01-28T07:00:00,2025-01-28T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.49,2025-01-27T23:00:00,2025-01-28T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.5,2025-01-28T07:00:00,2025-01-28T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,7.75,2025-01-29T03:00:00,2025-01-29T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.5,2025-01-29T03:00:00,2025-01-29T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.38,2025-01-30T11:00:00,2025-01-30T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.69,2025-01-30T03:00:00,2025-01-30T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.25,2025-01-30T19:00:00,2025-01-30T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.87,2025-01-30T11:00:00,2025-01-30T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.7,2025-01-29T23:00:00,2025-01-30T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.75,2025-01-30T07:00:00,2025-01-30T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.25,2025-01-29T23:00:00,2025-01-30T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,0.86,2025-01-30T19:00:00,2025-01-30T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,13,2025-01-30T15:00:00,2025-01-30T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.6,2025-01-30T07:00:00,2025-01-30T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,5.69,2025-01-30T15:00:00,2025-01-30T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.08,2025-01-30T03:00:00,2025-01-30T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.5,2025-02-02T03:00:00,2025-02-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.31,2025-02-01T23:00:00,2025-02-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4,2025-02-01T23:00:00,2025-02-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.27,2025-02-02T03:00:00,2025-02-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.64,2025-02-05T03:00:00,2025-02-05T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.69,2025-02-04T23:00:00,2025-02-05T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.63,2025-02-04T23:00:00,2025-02-05T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.96,2025-02-05T03:00:00,2025-02-05T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.69,2025-02-06T03:00:00,2025-02-06T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2,2025-02-05T23:00:00,2025-02-06T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.31,2025-02-05T23:00:00,2025-02-06T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3,2025-02-06T03:00:00,2025-02-06T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,5.69,2025-02-07T03:00:00,2025-02-07T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.97,2025-02-06T23:00:00,2025-02-07T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.6,2025-02-07T03:00:00,2025-02-07T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.89,2025-02-06T23:00:00,2025-02-07T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3,2025-02-07T23:00:00,2025-02-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,5.69,2025-02-07T23:00:00,2025-02-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.69,2025-02-08T03:00:00,2025-02-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.59,2025-02-08T03:00:00,2025-02-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.75,2025-02-09T03:00:00,2025-02-09T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.08,2025-02-08T23:00:00,2025-02-09T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1,2025-02-09T03:00:00,2025-02-09T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.52,2025-02-08T23:00:00,2025-02-09T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.18,2025-02-10T03:00:00,2025-02-10T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.88,2025-02-10T03:00:00,2025-02-10T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4,2025-02-09T23:00:00,2025-02-10T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.5,2025-02-09T23:00:00,2025-02-10T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.96,2025-02-10T23:00:00,2025-02-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.1,2025-02-10T23:00:00,2025-02-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.6,2025-02-11T03:00:00,2025-02-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.2,2025-02-11T03:00:00,2025-02-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.05,2025-02-12T03:00:00,2025-02-12T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.57,2025-02-12T03:00:00,2025-02-12T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.69,2025-02-11T23:00:00,2025-02-12T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.09,2025-02-11T23:00:00,2025-02-12T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.69,2025-02-13T23:00:00,2025-02-14T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.09,2025-02-14T03:00:00,2025-02-14T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.22,2025-02-14T03:00:00,2025-02-14T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.28,2025-02-13T23:00:00,2025-02-14T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.97,2025-02-15T03:00:00,2025-02-15T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.04,2025-02-15T03:00:00,2025-02-15T07:00:00,,
